mode: set
fynescope/sim/connection.go:15.38,16.17 1 0
fynescope/sim/connection.go:16.17,18.3 1 0
fynescope/sim/connection.go:19.2,19.12 1 0
fynescope/sim/connection.go:22.25,24.2 1 0
fynescope/sim/connection.go:26.43,43.2 7 0
fynescope/sim/connection.go:45.43,51.2 5 0
fynescope/sim/connection.go:53.45,61.2 5 0
fynescope/sim/connection.go:63.41,68.2 4 0
fynescope/sim/connection.go:70.47,76.16 3 0
fynescope/sim/connection.go:76.16,78.3 1 0
fynescope/sim/connection.go:79.2,84.25 6 0
fynescope/sim/connection.go:87.53,99.2 5 0
fynescope/sim/connection.go:101.51,112.2 6 0
fynescope/sim/connection.go:114.63,125.2 6 0
fynescope/sim/connection.go:127.71,138.2 6 0
fynescope/sim/connection.go:140.62,151.2 7 0
fynescope/sim/connection.go:153.67,166.2 8 0
fynescope/sim/connection.go:168.67,178.2 6 0
fynescope/sim/connection.go:180.53,186.2 5 0
fynescope/sim/connection.go:188.60,194.2 5 0
fynescope/sim/connection.go:196.78,203.2 5 0
fynescope/sim/connection.go:205.73,214.2 5 0
fynescope/sim/connection.go:216.47,224.2 6 0
fynescope/sim/connection.go:226.49,234.2 6 0
fynescope/sim/connection.go:236.49,243.2 5 0
fynescope/sim/connection.go:245.49,252.2 5 0
fynescope/sim/connection.go:254.57,264.2 5 0
fynescope/sim/connection.go:266.51,275.2 5 0
fynescope/sim/connection.go:277.53,286.2 5 0
fynescope/sim/connection.go:288.69,298.2 5 0
fynescope/sim/connection.go:300.57,306.2 4 0
fynescope/sim/connection.go:308.59,314.2 4 0
fynescope/sim/connection.go:315.37,326.2 6 0
fynescope/sim/connection.go:328.49,340.2 6 0
fynescope/sim/connection.go:342.41,354.2 6 0
fynescope/sim/connection.go:356.79,361.21 3 0
fynescope/sim/connection.go:361.21,368.3 6 0
fynescope/sim/connection.go:369.2,373.25 4 0
fynescope/sim/connection.go:376.79,381.20 3 0
fynescope/sim/connection.go:381.20,390.3 8 0
fynescope/sim/connection.go:391.2,395.25 4 0
fynescope/sim/connection.go:398.79,409.2 5 0
fynescope/sim/connection.go:411.55,417.2 4 0
fynescope/sim/connection.go:419.69,424.19 3 0
fynescope/sim/connection.go:424.19,430.3 5 0
fynescope/sim/connection.go:431.2,435.25 4 0
fynescope/sim/connection.go:438.87,443.21 3 0
fynescope/sim/connection.go:443.21,446.3 2 0
fynescope/sim/connection.go:447.2,451.25 4 0
fynescope/sim/connection.go:454.33,460.2 4 0
fynescope/sim/connection.go:462.57,474.2 5 0
fynescope/sim/connection.go:476.61,488.2 5 0
fynescope/sim/connection.go:490.70,501.2 6 0
fynescope/sim/connection.go:503.57,509.2 4 0
fynescope/sim/connection.go:511.65,525.2 8 0
fynescope/sim/connection.go:527.69,535.2 6 0
fynescope/sim/connection.go:537.85,542.20 3 0
fynescope/sim/connection.go:542.20,544.3 1 0
fynescope/sim/connection.go:545.2,549.25 4 0
fynescope/sim/connection.go:552.89,557.20 3 0
fynescope/sim/connection.go:557.20,559.3 1 0
fynescope/sim/connection.go:560.2,564.25 4 0
fynescope/sim/connection.go:567.39,573.2 4 0
fynescope/sim/connection.go:574.56,577.2 2 0
fynescope/sim/connection.go:579.39,586.2 5 0
fynescope/sim/connection.go:588.95,596.2 6 0
fynescope/sim/connection.go:598.53,605.2 5 0
fynescope/sim/connection.go:607.65,614.2 5 0
fynescope/sim/connection.go:618.41,624.2 4 0
fynescope/sim/connection.go:626.67,633.2 5 0
fynescope/sim/connection.go:635.85,644.2 5 0
